,job_title,company,salary,location,date,job_desc
412,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
413,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
414,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
415,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
416,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
417,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
418,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
419,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
420,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
421,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
422,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
423,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
424,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
425,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
426,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
427,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
428,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
429,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
430,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
431,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
432,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
433,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
434,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
435,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
436,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
437,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
438,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
439,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
440,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
441,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
442,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
443,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
444,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
445,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
446,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
447,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
448,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
449,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
450,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
451,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
452,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
453,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
454,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
455,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
456,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
457,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
458,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
459,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
460,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
461,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
462,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
463,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
464,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
465,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
466,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
467,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
468,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
469,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
470,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
471,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
472,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
473,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
474,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
475,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
476,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
477,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
478,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
479,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
480,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
481,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
482,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
483,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
484,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
485,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
486,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
487,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
488,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
489,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
490,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
491,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
492,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
493,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
494,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
495,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
496,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
497,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
498,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
499,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
500,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
501,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
502,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
503,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
504,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
505,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
506,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
507,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
508,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
509,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
510,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
511,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
512,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
513,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
514,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
515,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
516,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
517,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
518,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
519,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
520,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
521,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
522,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
523,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
524,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
525,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
526,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
527,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
528,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
529,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
530,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
531,"Director I, Data Science",Liberty Mutual Insurance,"$149,100 - $196,100 a year",Remote,PostedToday,"Regularly engages with the data science community and leads cross functional working groups.
Explore the advantages and limitations of privacy-preserving ML and…"
532,Data Analyst - $36/hr (Remote),Suna Solutions,$30 - $36 an hour,Remote,PostedJust posted,"Analytics and/or data science: 5 years (Preferred).
Bachelor's degree in Computer Science, Math, Statistics, or another technical field and 5+ years of…"
533,Senior Data Scientist,Underdog.io,"$157,872 - $166,937 a year",Remote,PostedPosted 6 days ago,"Our companies look for Data Scientists who are comfortable working with large data sets using Snowflake, dbt, SQL, Hadoop, MapReduce, Hive, and more."
534,Healthcare Data Analyst- AR & Denials,Cloudmed,"$75,000 - $100,000 a year",Remote,EmployerActive 7 days ago,"Possess background or certification in data science.
The candidate needs to have a comprehensive understanding of how to use data, effectively analyze large…"
535,Data Scientist II,Liberty Mutual Insurance,"$114,200 - $161,600 a year",Remote,PostedPosted 11 days ago,"This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to…"
536,Lead Machine Learning Engineer (Remote-Eligible),Capital One,Full-time +1,"Remote in McLean, VA 22101",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
537,data engineer sr,Starbucks,Full-time,"Remote in Seattle, WA 98134",PostedPosted 12 days ago,"Optimization of data products to service customer personas, Data science, AI/ML and data visualization.
This position is responsible for design, development,…"
538,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",Capital One,Full-time +1,"Remote in Chicago, IL 60695+5 locations",PostedPosted 2 days ago,"Construct optimized data pipelines to feed ML models.
2+ years of experience with data gathering and preparation for ML models."
539,Senior Agile Software Engineer (Full Stack- .NET/Azure),Emerson,"$113,985 - $170,985 a year","Remote in Kennesaw, GA 30144+1 location",PostedPosted 6 days ago,"Experience in related fields, e.g. customer support or data science.
Design and support scalable cloud native solutions with 24/7 uptime requirements using…"
540,Data Scientist,ESP IT,"$90,000 - $100,000 a year",Remote,PostedPosted 1 day ago,"Degree in computer science or data science or equivalent work experience.
Ingest text files/data from clients and run scripts to prepare data for topic…"
541,Data Analytics Consultant - Gaming,Affine Inc,Full-time,Remote,PostedPosted 2 days ago,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…"
542,Principal Statistical Programmer FSP (Remote),Labcorp,Full-time,"Remote in Wilmington, NC 28403+1 location",PostedPosted 8 days ago,"Bachelor’s degree, preferably in mathematics, statistics, computing, life science, health science, or related subjects."
543,Data Analyst,"Esolvit Inc.,",$60 - $70 an hour,Remote,PostedPosted 6 days ago,"Clearance Required: * Public Trust (Full Clearance required to start).
Education Level* : BS in Mathematics, Economics, Computer Science, Information Management…"
544,Data Scientist,Swimply,Full-time,Remote,PostedPosted 2 days ago,What We Do Swimply is an online marketplace that allows homeowners to share their passion spaces with their local communities. We started with swimming pools…
